-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1014.0     13   25.2   24.5     96  19.54    125      4  297.2  353.9  300.6
 1001.0    129   26.4   23.1     82  18.15    204      8  299.5  352.7  302.7
 1000.0    138   26.4   22.9     81  17.94    210      8  299.6  352.2  302.8
  990.0    227   26.4   22.6     80  17.79    234      7  300.4  352.8  303.6
  981.3    305   25.8   22.4     82  17.73    255      7  300.5  352.8  303.7
  947.9    610   23.3   21.6     90  17.49    235     10  301.0  352.6  304.1
  939.0    693   22.6   21.4     93  17.42    239      9  301.1  352.6  304.2
  925.0    824   21.6   20.4     93  16.61    245      8  301.4  350.5  304.4
  915.5    914   20.9   19.7     93  16.04    245      9  301.6  349.1  304.5
  893.0   1129   19.4   18.0     92  14.77    252      8  302.2  346.0  304.8
  886.0   1198   20.0   17.1     83  14.04    254      8  303.5  345.4  306.0
  883.8   1219   19.9   16.8     83  13.85    255      8  303.6  344.9  306.1
  855.0   1505   18.4   13.4     73  11.42    242      6  304.9  339.3  307.0
  850.0   1555   18.0   13.2     74  11.34    240      6  305.0  339.2  307.1
  831.0   1749   16.6   12.0     74  10.71    240      7  305.5  337.9  307.5
  823.2   1829   16.3    9.8     66   9.33    240      7  306.0  334.4  307.7
  821.0   1852   16.2    9.2     63   8.97    238      7  306.1  333.5  307.8
  815.0   1914   15.6   11.5     77  10.56    232      7  306.1  338.2  308.1
  805.0   2019   15.4    9.4     67   9.28    221      6  307.0  335.3  308.7
  794.1   2134   14.7    8.9     68   9.08    210      6  307.5  335.3  309.1
  766.0   2438   12.9    7.5     70   8.57    220      9  308.7  335.1  310.3
  744.0   2684   11.4    6.4     71   8.17    212     10  309.6  335.0  311.2
  738.8   2743   11.2    5.7     69   7.80    210     10  310.1  334.4  311.5
  726.0   2889   10.8    3.8     62   6.97    213     10  311.1  333.0  312.5
  721.0   2946   10.2    5.2     71   7.75    215     10  311.1  335.3  312.6
  700.0   3192    8.6    3.8     72   7.23    220     10  312.0  334.7  313.3
  699.0   3204    8.6    3.7     71   7.19    221     10  312.1  334.7  313.5
  664.0   3628    7.0    0.0     61   5.80    239      7  314.9  333.5  316.0
  661.6   3658    6.9    1.4     68   6.44    240      7  315.2  335.8  316.4
  658.0   3703    6.8    3.5     79   7.53    240      7  315.5  339.5  316.9
  652.0   3778    6.4    3.0     79   7.34    240      6  315.9  339.3  317.3
  631.0   4046    4.4    1.7     83   6.91    240      4  316.6  338.7  317.9
  627.0   4098    4.6    0.8     76   6.51    240      4  317.4  338.4  318.6
  618.0   4216    3.0    0.6     84   6.51    240      3  316.9  337.8  318.1
  614.1   4267    3.0   -0.2     79   6.16    240      3  317.4  337.3  318.6
  612.0   4295    3.0   -0.7     77   5.98    243      3  317.7  337.1  318.9
  606.0   4375    2.2    0.8     90   6.74    252      4  317.7  339.4  319.0
  602.0   4429    1.6    0.2     90   6.49    258      5  317.6  338.6  318.9
  593.0   4550    2.0    1.0     93   6.99    272      7  319.5  342.1  320.8
  569.5   4877    0.4   -0.7     92   6.41    310     11  321.3  342.3  322.6
  566.0   4926    0.2   -1.0     92   6.33    321     10  321.6  342.4  322.9
  565.0   4940    0.0   -1.2     92   6.24    324      9  321.6  342.0  322.8
  548.0   5182   -3.4   -8.0     71   3.85     20      3  320.3  333.2  321.1
  536.0   5358   -5.9  -12.9     58   2.66     20      6  319.4  328.4  319.9
  521.0   5580   -7.1  -14.1     57   2.48     20     10  320.5  329.0  321.0
  514.0   5686   -7.7  -30.7     14   0.58     20     12  321.0  323.2  321.2
  509.0   5762   -8.1  -22.1     31   1.29     20     13  321.5  326.0  321.7
  507.1   5791   -8.2  -21.8     33   1.33     20     14  321.7  326.4  322.0
  500.0   5900   -8.5  -20.5     37   1.51     20     14  322.6  327.9  322.9
  498.0   5931   -8.5  -19.5     41   1.65     21     15  323.0  328.8  323.3
  495.0   5978   -9.1  -21.1     37   1.44     22     16  322.8  327.9  323.1
  492.0   6025   -8.9  -18.9     44   1.76     23     17  323.6  329.8  324.0
  488.0   6088   -9.3  -21.3     37   1.44     25     18  323.9  329.0  324.2
  487.5   6096   -9.3  -23.4     31   1.19     25     18  323.9  328.2  324.2
  485.0   6135   -9.5  -33.5     12   0.47     26     18  324.2  326.0  324.3
  479.0   6231   -9.9  -24.9     28   1.06     28     19  324.9  328.8  325.1
  474.0   6312  -10.7  -33.7     13   0.47     30     19  324.9  326.6  324.9
  473.0   6328  -10.7  -36.7     10   0.35     31     19  325.0  326.4  325.1
  470.0   6377  -10.9  -28.9     21   0.75     32     19  325.4  328.2  325.5
  464.0   6475  -11.1  -34.1     13   0.46     34     20  326.3  328.1  326.4
  460.0   6541  -11.1  -30.1     19   0.69     36     20  327.1  329.7  327.3
  455.0   6625  -11.5  -33.5     14   0.50     38     21  327.7  329.6  327.8
  450.2   6706  -11.8  -29.8     21   0.72     40     21  328.3  331.0  328.4
  449.0   6726  -11.9  -28.9     23   0.79     39     21  328.4  331.4  328.6
  432.6   7010  -13.3  -35.0     14   0.46     30     25  330.1  331.9  330.2
  428.0   7091  -13.7  -36.7     12   0.39     33     25  330.6  332.2  330.7
  400.0   7600  -17.5  -38.5     14   0.35     50     22  332.2  333.5  332.2
  398.9   7620  -17.6  -38.7     14   0.34     55     22  332.2  333.6  332.3
  382.9   7925  -19.6  -41.5     12   0.26     45     26  333.6  334.6  333.6
  382.0   7944  -19.7  -41.7     12   0.26     45     26  333.7  334.7  333.7
  341.0   8775  -26.7  -45.7     15   0.19     31     18  335.1  335.9  335.2
  330.0   9012  -27.9  -52.9      7   0.09     27     16  336.6  337.0  336.7
  324.0   9144  -28.9  -49.4     12   0.13     25     15  337.0  337.5  337.0
  322.0   9187  -29.3  -48.3     14   0.15     26     15  337.1  337.7  337.1
  318.0   9277  -30.1  -54.1      8   0.08     29     14  337.2  337.5  337.2
  310.4   9449  -30.9  -55.4      7   0.07     35     13  338.4  338.7  338.4
  300.0   9690  -32.1  -57.1      7   0.06     55     13  340.0  340.3  340.0
  297.3   9754  -32.6  -57.6      6   0.05     55     13  340.1  340.4  340.1
  296.0   9785  -32.9  -57.9      6   0.05     54     13  340.2  340.4  340.2
  284.7  10058  -35.3  -53.0     15   0.10     40     11  340.6  341.0  340.6
  279.0  10198  -36.5  -50.5     22   0.13     26     11  340.8  341.4  340.8
  273.0  10349  -37.9  -45.9     43   0.23     11     12  340.9  341.9  340.9
  272.4  10363  -38.0  -46.0     43   0.23     10     12  340.9  341.9  341.0
  250.0  10950  -42.5  -51.5     37   0.13     25     16  342.7  343.3  342.8
  237.0  11310  -45.3  -57.3     25   0.07     25     20  343.8  344.1  343.8
  223.0  11714  -49.1  -58.1     34   0.07     25     24  344.0  344.3  344.0
  217.2  11887  -50.5  -63.2     21   0.04     25     26  344.4  344.5  344.4
  215.0  11953  -51.1  -65.1     17   0.03     23     26  344.5  344.6  344.5
  204.0  12293  -54.1  -61.1     42   0.05     14     23  345.0  345.2  345.0
  200.0  12420  -55.1  -62.1     41   0.04     10     22  345.4  345.6  345.4
  197.0  12516  -56.1  -64.1     36   0.04      6     22  345.3  345.4  345.3
  193.0  12645  -56.7  -62.7     47   0.04      1     23  346.3  346.5  346.3
  190.0  12744  -57.5  -66.5     31   0.03    357     23  346.6  346.7  346.6
  188.2  12802  -57.9  -66.8     31   0.03    355     23  346.9  347.1  346.9
  187.0  12844  -58.1  -67.1     31   0.02    359     22  347.2  347.3  347.2
  182.0  13014  -58.1  -74.1     11   0.01     16     20  349.9  349.9  349.9
  179.3  13106  -59.0  -75.0     11   0.01     25     19  350.0  350.0  350.0
  174.0  13294  -60.7  -76.7     10   0.01     27     20  350.1  350.2  350.1
  171.0  13401  -60.5  -76.5     11   0.01     28     21  352.2  352.2  352.2
  150.0  14200  -67.3  -77.3     23   0.01     35     25  354.0  354.0  354.0
  146.9  14326  -68.4  -77.2     27   0.01     35     25  354.2  354.2  354.2
  145.0  14404  -69.1  -77.1     31   0.01     34     23  354.3  354.3  354.3
  140.0  14614  -70.3  -78.3     30   0.01     30     17  355.7  355.8  355.8
  139.6  14630  -70.2  -78.4     29   0.01     30     18  356.2  356.3  356.2
  138.0  14699  -69.7  -78.7     26   0.01     25     19  358.3  358.3  358.3
  135.0  14831  -70.3  -80.3     22   0.00     17     20  359.5  359.5  359.5
